applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
1772489-2,SPAIN,8/5/2021,28,Sociedad Cooperativa Valle de los Pedroches,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1772488-1,SPAIN,8/5/2021,28,Sociedad Cooperativa Valle de los Pedroches,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1773358-1,BRAZIL,8/5/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,55,Invalid Shipping Mark,,Missing Shipping Mark
1794029-1,DENMARK,8/5/2021,31,Danish Crown,03C,Raw intact pork,Pork,43,Shipping Damage,,"Torn, exposed"
1823158-2,CANADA,8/5/2021,1,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03H,NRTE otherwise processed meat,Pork,9,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1782869-2,AUSTRALIA,8/5/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1759139-1,BRAZIL,8/5/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1808520-1,NEW ZEALAND,8/5/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1807972-3,NEW ZEALAND,8/5/2021,ME78,CMP Canterbury Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,24,Invalid Shipping Mark,,Missing Shipping Mark
1826992-1,CANADA,8/5/2021,7,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03C,Raw intact pork,Pork,92,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1787085-1,AUSTRALIA,8/5/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1787085-2,AUSTRALIA,8/5/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1787085-3,AUSTRALIA,8/5/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1754691-1,CHILE,8/5/2021,602,Faenadora Lo Miranda Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,80,Invalid Shipping Mark,,Missing Shipping Mark
1779050-1,NEW ZEALAND,8/5/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,780,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1776611-2,POLAND,8/5/2021,10024002,Animex Kutno Spolka z orgraniczona odpowiedzialnoscia Oddzial K1 w Kutnie,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,56,Invalid Shipping Mark,,Missing Shipping Mark
1823135-3,MEXICO,8/5/2021,467,"Sonora Agropecuaria, S.A. de C.V.",03C,Raw intact pork,Pork,29,Other,,Misc. Labeling Issue
1794062-1,DENMARK,8/6/2021,31,Danish Crown,03C,Raw intact pork,Pork,46,Shipping Damage,,"Torn, exposed"
1785807-1,URUGUAY,8/6/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1785807-2,URUGUAY,8/6/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1811919-1,POLAND,8/6/2021,10023802,Animex Foods Sp. zo.o. Oddzial  K4 w Kutnie,03C,Raw intact pork,Pork,86,Shipping Damage,,"Torn, exposed"
1822997-2,NETHERLANDS,8/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,16,Shipping Damage,,"Torn, exposed"
1826008-1,NETHERLANDS,8/6/2021,NL61EG,Vion Boxtel B.V.,03C,Raw intact pork,Pork,110,Shipping Damage,,"Torn, exposed"
1826008-2,NETHERLANDS,8/6/2021,NL61EG,Vion Boxtel B.V.,03C,Raw intact pork,Pork,225,Shipping Damage,,"Torn, exposed"
1826008-4,NETHERLANDS,8/6/2021,NL61EG,Vion Boxtel B.V.,03C,Raw intact pork,Pork,76,Shipping Damage,,"Torn, exposed"
1822488-1,ARGENTINA,8/6/2021,1920,Frigorifico Rioplatense SAICIF,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
1814943-3,AUSTRALIA,8/6/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1814943-4,AUSTRALIA,8/6/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1814943-5,AUSTRALIA,8/6/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1757835-1,NEW ZEALAND,8/6/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,480,Invalid Shipping Mark/ Shipping Damage,,"Illegible Shipping Marks/ Missing Shipping Mark/ Torn, exposed"
1757866-1,NEW ZEALAND,8/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,540,Shipping Damage,,"Torn, exposed"
1757837-1,NEW ZEALAND,8/6/2021,ME42,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,900,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1757628-1,NEW ZEALAND,8/6/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1757848-1,NEW ZEALAND,8/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1757546-1,NEW ZEALAND,8/6/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,300,Shipping Damage,,"Torn, exposed"
1764962-1,BRAZIL,8/6/2021,4333,JBS S/A,03C,Raw intact beef,Beef,120,Invalid Shipping Mark,,Missing Shipping Mark
1789305-1,BRAZIL,8/6/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1794002-1,DENMARK,8/6/2021,22,Danish Crown,03C,Raw intact pork,Pork,53,Shipping Damage,,"Torn, exposed"
1805678-1,CHILE,8/6/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,80,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1805642-1,CHILE,8/6/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,120,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1816161-1,ISRAEL,8/6/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,100,Invalid Shipping Mark,,Missing Shipping Mark
1816161-3,ISRAEL,8/6/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1816161-4,ISRAEL,8/6/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,60,Invalid Shipping Mark,,Missing Shipping Mark
1816161-5,ISRAEL,8/6/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1826385-4,MEXICO,8/6/2021,431,"Sukarne Agroindustrial, S.A. de C.V.",03C,Raw intact beef,Beef,75,Shipping Damage,,"Crushed, blood stained"
1807042-1,IRELAND,8/6/2021,356,Rosderra Irish Meats Group,03C,Raw intact pork,Pork,48,Shipping Damage,,"Torn, exposed"
1795277-1,NEW ZEALAND,8/6/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,540,Shipping Damage,,"Torn, exposed"
1810086-1,UNITED KINGDOM,8/6/2021,9016,"Foyle Food Group, Foyle Campsie",03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1821710-1,CANADA,8/6/2021,913,Aliya's Foods Limited,03G,RTE fully-cooked poultry,Chicken,9,Shipping Damage,,"Torn, exposed"
1828364-2,MEXICO,8/6/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,33,Compromised Vacuum Package,,Leaking Vacuum Package
1786841-1,AUSTRALIA,8/6/2021,486,E C Throsby,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Shipping Mark Invalid
1786841-2,AUSTRALIA,8/6/2021,486,E C Throsby,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Shipping Mark Invalid
1772912-1,AUSTRALIA,8/6/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,360,Invalid Shipping Mark,,Missing Shipping Mark
1772913-1,AUSTRALIA,8/6/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,120,Invalid Shipping Mark,,Missing Shipping Mark
1802065-1,AUSTRALIA,8/6/2021,203,Stanbroke Beef Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1808289-1,NICARAGUA,8/6/2021,1,GINSA,03C,Raw intact beef,Beef,38,Shipping Damage,,"Crushed, blood stained"
1806074-1,AUSTRALIA,8/6/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,179,Compromised Vacuum Package,,Leaking Vacuum Package
1799214-1,AUSTRALIA,8/6/2021,1620,Australian Country Choice Production Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1799220-1,AUSTRALIA,8/6/2021,1620,Australian Country Choice Production Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1822787-1,NEW ZEALAND,8/6/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1824228-1,CANADA,8/6/2021,7,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03C,Raw intact pork,Pork,180,Failed Type of Inspection (Y)/ Other,Label Verification,Container labeling issues/ Misc. Labeling Issue
1830196-1,NEW ZEALAND,8/6/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1802103-1,NEW ZEALAND,8/6/2021,ME50,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,21,Invalid Shipping Mark,,Illegible Shipping Marks
1778979-1,NEW ZEALAND,8/6/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1778980-1,NEW ZEALAND,8/6/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,540,Shipping Damage,,"Torn, exposed"
1822653-1,CANADA,8/6/2021,10,"OLYM S.E.C. Also DBA Agromex Inc., OlyM L.P., OlyM S.E.C./L.P., F. M‚nard, Division of Olymel S.E.C.",03C,Raw intact pork,Pork,14713,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1774123-1,CHILE,8/6/2021,1307,Agroindustrial el Paico S.A.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1830280-1,MEXICO,8/6/2021,66,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03C,Raw intact pork,Pork,183,Invalid Shipping Mark,,Missing Shipping Mark
1829432-3,CANADA,8/6/2021,93,Cargill Limited/Cargill Limitee,03C,Raw intact beef,Beef,60,Failed Type of Inspection (Y)/ Other,Label Verification,Container labeling issues/ Misc. Labeling Issue
1831224-1,CANADA,8/6/2021,10,"OLYM S.E.C. Also DBA Agromex Inc., OlyM L.P., OlyM S.E.C./L.P., F. M‚nard, Division of Olymel S.E.C.",03C,Raw intact pork,Pork,652,Invalid Shipping Mark,,Missing Shipping Mark
1830412-2,CANADA,8/7/2021,1,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03H,NRTE otherwise processed meat,Pork,9,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1817770-1,NEW ZEALAND,8/7/2021,ME84,Silver Fern Farms Limited - Te Aroha,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1760391-1,BRAZIL,8/7/2021,337,JBS S/A,03D,"Thermally processed, commercially sterile",Beef,440,Shipping Damage,,"Crushed, blood stained"
1785147-1,NEW ZEALAND,8/7/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1789877-1,AUSTRALIA,8/7/2021,234,HW Greenham & Sons Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1798474-1,NEW ZEALAND,8/7/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1744879-1,BRAZIL,8/7/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Shipping Mark Invalid
1754308-1,BRAZIL,8/7/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1760843-1,BRAZIL,8/7/2021,847,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
1760842-1,BRAZIL,8/7/2021,847,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
1789699-1,URUGUAY,8/7/2021,30,Establecemientos Colonia S.A.,03D,"Thermally processed, commercially sterile",Beef,36,Shipping Damage,,"Crushed, blood stained"
1760844-1,BRAZIL,8/7/2021,847,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
1781648-1,AUSTRALIA,8/7/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,242,Shipping Damage,,"Crushed, blood stained"
1785982-3,AUSTRALIA,8/7/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,44,Invalid Shipping Mark,,Missing Shipping Mark
1834560-2,AUSTRALIA,8/7/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,29,Invalid Shipping Mark,,Missing Shipping Mark
1834560-3,AUSTRALIA,8/7/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,56,Shipping Damage,,"Crushed, blood stained"
1778625-5,AUSTRALIA,8/7/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,149,Shipping Damage,,"Crushed, blood stained"
1778625-10,AUSTRALIA,8/7/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,25,Shipping Damage,,"Crushed, blood stained"
1827234-1,CANADA,8/8/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1802660-2,NEW ZEALAND,8/9/2021,ME78,CMP Canterbury Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Inspection Certificate,,Inspection certificate issues
1827050-1,ITALY,8/9/2021,U8681,Roncadin S.P.A.,03H,NRTE otherwise processed meat,Pork,177,Failed Type of Inspection (Y)/ Invalid Inspection Certificate/ Invalid Shipping Mark/ Shipping Damage,Label Verification,"Container labeling issues/ Inspection certificate issues/ Missing Shipping Mark/ Torn, exposed"
1759753-1,POLAND,8/9/2021,32620201,Animex Foods Sp. zo.o. ul T. Chalubinskiego,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,33,Shipping Damage,,"Torn, exposed"
1835626-1,AUSTRALIA,8/9/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1746498-1,DENMARK,8/9/2021,65,Danish Crown Foods A/S (also T/A Tulip Food Company),03D,"Thermally processed, commercially sterile",Pork,18,Shipping Damage,,"Torn, exposed"
1835674-1,ITALY,8/9/2021,U8681,Roncadin S.P.A.,03H,NRTE otherwise processed meat,Pork,381,Failed Type of Inspection (Y)/ Invalid Inspection Certificate/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Inspection certificate issues/ Missing Shipping Mark
1807896-1,POLAND,8/9/2021,22030207,Goodvalley Sp. zo.o.,03C,Raw intact pork,Pork,52,Shipping Damage,,"Torn, exposed"
1764866-3,AUSTRALIA,8/9/2021,46,Wagstaff Cranbourne Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,57,Shipping Damage,,"Torn, exposed"
1757861-1,NEW ZEALAND,8/9/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1757863-1,NEW ZEALAND,8/9/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1800081-1,AUSTRALIA,8/9/2021,7,Tey's Australia Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1785233-1,NEW ZEALAND,8/9/2021,ME125,Silver Fern Farms Limited - Dargaville,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1815730-1,NEW ZEALAND,8/9/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1787320-1,BRAZIL,8/9/2021,3181,JBS S/A,03C,Raw intact beef,Beef,180,Invalid Shipping Mark,,Missing Shipping Mark
1787319-1,BRAZIL,8/9/2021,3181,JBS S/A,03C,Raw intact beef,Beef,420,Invalid Shipping Mark,,Missing Shipping Mark
1815731-1,NEW ZEALAND,8/9/2021,ME43,Riverlands Eltham Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Shipping Mark Invalid
1800101-1,AUSTRALIA,8/9/2021,39,HJ Heinz Company Australia Ltd,03D,"Thermally processed, commercially sterile",Beef,17,Shipping Damage,,"Torn, exposed"
1798335-1,NEW ZEALAND,8/9/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1738490-1,VIETNAM,8/9/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,135,Other/ Shipping Damage,,"Other/ Torn, exposed"
1802221-2,NEW ZEALAND,8/9/2021,ME50,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,72,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1788612-2,AUSTRALIA,8/9/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1757084-1,ARGENTINA,8/9/2021,2025,Frigorifico Gorina SAIC,03C,Raw intact beef,Beef,0,Other,,Misc. Labeling Issue
1757084-2,ARGENTINA,8/9/2021,2025,Frigorifico Gorina SAIC,03C,Raw intact beef,Beef,0,Other,,Misc. Labeling Issue
1834477-1,MEXICO,8/9/2021,111,"Ganaderia Integral Vizur, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,62,Invalid Shipping Mark,,Illegible Shipping Marks
1774984-3,IRELAND,8/9/2021,296,Slaney Foods Internationa UC T/A Slaney Foods,03C,Raw intact beef,Beef,59,Shipping Damage,,"Torn, exposed"
1816778-1,SPAIN,8/9/2021,14,Campofrio Food Group S.A.,03E,RTE dried meat,Pork,0,Invalid Shipping Mark,,Missing Shipping Mark
1802365-1,NEW ZEALAND,8/9/2021,ME86,Taylor Preston Limited,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate/ Invalid Shipping Mark,,Inspection certificate issues/ Shipping Mark Invalid
1802365-2,NEW ZEALAND,8/9/2021,ME86,Taylor Preston Limited,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1799208-1,AUSTRALIA,8/9/2021,1620,Australian Country Choice Production Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1799197-1,AUSTRALIA,8/9/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Missing Shipping Mark
1799197-2,AUSTRALIA,8/9/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Missing Shipping Mark
1802408-2,AUSTRALIA,8/9/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1818306-1,NEW ZEALAND,8/9/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1818307-1,NEW ZEALAND,8/9/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1816893-4,MEXICO,8/9/2021,89,"Productos Chata, S.A. De C.V.",03D,"Thermally processed, commercially sterile",Pork,0,Invalid Shipping Mark,,Shipping Mark Invalid
1799207-1,AUSTRALIA,8/9/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1818532-1,AUSTRALIA,8/9/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,45,Shipping Damage,,"Crushed, blood stained"
1818532-2,AUSTRALIA,8/9/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,59,Shipping Damage,,"Crushed, blood stained"
1800145-1,BRAZIL,8/9/2021,4490,Vale Grande Industria E Comercio De Alimentos S/A,03C,Raw intact beef,Beef,0,Failed Type of Inspection (Y)/ Invalid Inspection Certificate,Label Verification,Container labeling issues/ Inspection certificate issues
1807038-2,URUGUAY,8/9/2021,74,Frigosalto (Somicar S.A.),03C,Raw intact beef,Beef,134,Invalid Shipping Mark,,Missing Shipping Mark
1765000-2,URUGUAY,8/9/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1795189-6,AUSTRALIA,8/9/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,50,Invalid Inspection Certificate,,Inspection certificate issues
1808573-3,AUSTRALIA,8/9/2021,612,Wodonga Rendering Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,46,Shipping Damage,,"Torn, exposed"
1808056-1,NEW ZEALAND,8/9/2021,ME50,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,120,Shipping Damage,,"Torn, exposed"
1834517-8,MEXICO,8/9/2021,111,"Ganaderia Integral Vizur, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,32,Other,,Misc. Labeling Issue
1804183-1,POLAND,8/10/2021,10024002,Animex Kutno Spolka z orgraniczona odpowiedzialnoscia Oddzial K1 w Kutnie,03F,RTE dried meat,Pork,11,Invalid Shipping Mark,,Missing Shipping Mark
1799701-1,CHILE,8/10/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Invalid Shipping Mark,,Illegible Shipping Marks
1806835-1,POLAND,8/10/2021,22023801,Zaklady Miesne Skiba S.A. Oddzial Ubojnia Trzody Chlewnej w Chojnicach,03C,Raw intact pork,Pork,43,Shipping Damage,,"Torn, exposed"
1815724-1,NEW ZEALAND,8/10/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1815720-1,AUSTRALIA,8/10/2021,7,Tey's Australia Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1826127-4,ARGENTINA,8/10/2021,1920,Frigorifico Rioplatense SAICIF,03C,Raw intact beef,Beef,38,Shipping Damage,,"Crushed, blood stained"
1810480-1,NEW ZEALAND,8/10/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1817482-6,AUSTRALIA,8/10/2021,612,Wodonga Rendering Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,148,Shipping Damage,,"Torn, exposed"
1822383-1,AUSTRALIA,8/10/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,95,Shipping Damage,,"Crushed, blood stained"
1774543-1,URUGUAY,8/10/2021,12,Frigorifico Tacuarembo S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1824679-1,AUSTRALIA,8/10/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,46,Invalid Shipping Mark,,Missing Shipping Mark
1807237-1,CHILE,8/10/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Invalid Shipping Mark,,Illegible Shipping Marks
1798953-1,CHILE,8/10/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Invalid Shipping Mark,,Illegible Shipping Marks
1773549-1,AUSTRALIA,8/10/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1773549-2,AUSTRALIA,8/10/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,10406,Invalid Inspection Certificate,,Inspection certificate issues
1799440-1,DENMARK,8/10/2021,53,Danish Crown,03C,Raw intact pork,Pork,45,Shipping Damage,,"Torn, exposed"
1787193-1,BRAZIL,8/10/2021,3181,JBS S/A,03C,Raw intact beef,Beef,58,Invalid Shipping Mark,,Missing Shipping Mark
1787192-1,BRAZIL,8/10/2021,3181,JBS S/A,03C,Raw intact beef,Beef,116,Invalid Shipping Mark,,Missing Shipping Mark
1787401-1,BRAZIL,8/10/2021,3181,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1819568-2,AUSTRALIA,8/10/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1787400-1,BRAZIL,8/10/2021,3181,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1834411-1,CANADA,8/10/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,44,Shipping Damage,,"Torn, exposed"
1815956-1,FRANCE,8/10/2021,24053001,Sobeval,03C,Raw intact beef,Veal,0,Invalid Inspection Certificate,,Inspection certificate issues
1815956-2,FRANCE,8/10/2021,24053001,Sobeval,03C,Raw intact beef,Veal,0,Invalid Inspection Certificate,,Inspection certificate issues
1791890-1,AUSTRALIA,8/10/2021,39,HJ Heinz Company Australia Ltd,03D,"Thermally processed, commercially sterile",Beef,65,Invalid Shipping Mark,,Missing Shipping Mark
1837365-1,CANADA,8/10/2021,340,Sofina Foods Inc/Aliments Sofina Inc.,03I,RTE salt-cured meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1804081-1,AUSTRALIA,8/10/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,720,Shipping Damage,,"Torn, exposed"
1745168-1,VIETNAM,8/10/2021,DL847,Thanh Binh Dong Thap Ltd One Member Company Limited (Thanh Binh Dong Thap Ltd),03C,Raw intact meat - other,Siluriformes - Other,15,Shipping Damage,,"Torn, exposed"
1776477-1,NEW ZEALAND,8/10/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
