EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
M19781 + P19781,Croissant Etc. Corp.,7195 S 1st Street,Oak Creek WI,WI,53154,(414) 421-5226,07/26/2019,"Meat Processing, Poultry Processing",
M19782 + P19782,E. Excel Food Inc,3700 E. Melville Way,Anaheim,CA,92806,(714) 632-8277,01/10/2014,"Meat Processing, Poultry Processing",
M19786 + P19786,Prima Sausage Co Inc,7950 NW 76th Ave,Medley,FL,33166,(305) 836-4461,07/11/2006,Meat Processing,
M19789 + P19789,4-L Processing,5428 FM 69,Como,TX,75431,(903) 629-3856,07/25/2016,"Meat Processing, Meat Slaughter",
M19790 + P19790 + V19790,"Lineage Logistics, LLC",8791 Hampton Blvd,Norfolk,VA,23505,(757) 451-3211,10/11/2011,"Certification - Export, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M19796 + P19796,Eastside Cafe,30W 270 Butterfield Rd.,Warrenville,IL,60555,(630) 393-0920,10/17/2001,"Meat Processing, Poultry Processing",
M1980 + P6869 + V1980,"AdvancePierre Foods, Inc.",1833 Foster Cooper Park Rd.,Amherst,OH,44001,(440) 444-3161,03/30/2020,"AMS RTE Canada EV Program, Certification - Export, Meat Processing, Poultry Processing","Advance Food Company, LLC; Barber Foods; Chef's Pantry, LLC; Cloverdale Farms LLC"
M19804 + P19804,JM Packing,366 Villa Street,Ponce,PR,731,(787) 842-0214,06/09/2008,"Meat Processing, Poultry Processing",JM Packing; Progreso Cash & Carry Inc
M19809 + P19809,Major Products,40 Industrial Avenue,Little Ferry,NJ,7643,(201) 641-5555,12/19/2018,"Meat Processing, Poultry Processing",
M19821 + P19821,"West Liberty Foods, LLC",603 East A St.,West Liberty,IA,52776,(319) 627-3477,02/25/2019,"Meat Processing, Poultry Processing",Iowa Turkey Growers Coop
M19825 + P19825,Halal International Processing,462 Kelly Road,York,SC,29745,(803) 684-9248,06/26/2001,"Meat Processing, Meat Slaughter, Poultry Processing",
M19829 + P19829,"Perfect Pasta, Inc.",31 Fairbank Street (Unit A),Addison,IL,60101,(630) 543-8300,11/13/1998,"Meat Processing, Poultry Processing","Marco Foods Fresh Pasta MFG., Inc"
M19829J + P19829J,"Perfect Pasta, Inc.",1405 Jeffrey Ln,Addison,IL,60101,(630) 543-8300,11/24/2021,"Meat Processing, Poultry Processing",
M19830 + P19830,Flying Food Group,640 Frelinghuysen Avenue,Newark,NJ,7114,(973) 623-3395,06/17/2021,"Meat Processing, Poultry Processing",
M19834 + P19834,"PF Meats Company, Inc.",305 O'Neal St.,Belton,SC,29627,(864) 506-4046,12/13/2021,"Meat Processing, Poultry Processing",
M19836 + P19836,"Carolina Packers, Inc.",2999 South Bright Leaf Blvd.,Smithfield,NC,27577,(919) 934-2181,05/16/2011,Meat Processing,
M19839 + P19839 + V19839,"Culinaire, Inc.",1111 W. Exposition Avenue,Denver,CO,80223,(303) 592-9100,03/05/2008,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M19851 + P19851,Petty Brothers Meats Inc.,320 Elm St. E.,Annandale,MN,55302,(320) 274-5615,10/10/2016,"Meat Processing, Poultry Processing",Retail Meat Market
M19856 + P19856,Top Taste Food Inc.,138 35th Street,Brooklyn,NY,11232,(718) 768-2609,08/19/2013,"Meat Processing, Poultry Processing",
M19860 + P19860,"Northern Tier Bakery, LLC",625 2nd Street,Saint Paul Park,MN,55071,(952) 277-5256,09/08/1998,"Meat Processing, Poultry Processing","Northern Tier Bakery , LLC.; Speedway SuperAmerica LLC; Supermom's"
M19870 + P19870 + V19870,United States Cold Storage Inc,240 Bruce Costin Road,Warsaw,NC,28398,(910) 293-7400,05/19/2011,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M19872 + P19872 + V19872,"Empirical Foods, Inc.",360 164th Street,So. Sioux City,NE,68776,(402) 412-4000,04/19/2019,"Certification - Export, Meat Processing, Poultry Processing","Dakota Cold Storage-DCS; Dos Rios; Jen's Family Table; JFT Distribution, LLC; Noble Valley Meat Co.; NVM Distribution, LLC; Two Rivers; Two Rivers Distribution, LLC; WAF Distribution, LLC; Whole Acre Farms"
M19879 + P19879,Golden Valley Industries,960 Lone Palm Avenue,Modesto,CA,95351,(209) 939-3370,06/16/2020,"Meat Processing, Poultry Processing",
M19881 + P19881,Bylada Foods LLC,140 West Commercial Avenue,Moonachie,NJ,7074,(201) 933-7474,09/27/2012,"Meat Processing, Poultry Processing",
M19881A + P19881A,Bylada Foods LLC,501 Jackson St.,Camden,NJ,8104,(201) 933-7474,06/24/2020,"Meat Processing, Poultry Processing",
M19884 + P19884 + V19884,"Rosie's Snacks, Inc.",231 Saint Albans Road,Swanton,VT,5488,(802) 868-2877,08/17/2025,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Rosie's Vermont Beef Jerky
M19887 + P19887,"WILD Flavors, Inc.",1261 Pacific Avenue,Erlanger,KY,41015,(606) 342-3600,10/18/2021,"Meat Processing, Poultry Processing",
M19887A + P19887A,"WILD Flavors, Inc",4283 Olympic Blvd,Erlanger,KY,41018,(859) 525-0270,10/18/2021,"Meat Processing, Poultry Processing",
M19888 + P19888,Fresh Creative Foods,3825 Corporate View,Vista,CA,92081,(760) 597-1270,03/20/2017,"Meat Processing, Poultry Processing",Fresh Creative Foods
M19889 + P19889,It's Jerky Inc.,3094 Crossroads Drive,Redding,CA,96003,(530) 365-9395,04/22/2018,"Meat Processing, Poultry Processing",
M19891,"ACME Jerky, LLC",5710 Lord Street,Scottsmoor,FL,32754,(321) 987-1238,02/27/2015,Meat Processing,
M19893 + P19893 + V19893,Whitefeather Meats,14079 Cleveland Rd.,Creston,OH,44217,(330) 435-6300,12/08/2017,"Food Inspection, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter -",
M19894 + P19894,Weaver Meats Inc,380 Fountain Ave,Painesville,OH,44077,(440) 639-1954,04/29/1996,"Meat Processing, Poultry Processing",
M199 + P223 + V199,Hormel Foods Corporation,500 14th Avenue NE,Austin,MN,55912,(507) 437-5611,04/16/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",DiLusso Deli Company; Geo A Hormel & Company
M1990 + P6290,"Del Mar Meats, Inc.",850 E. Commercial Ave.,San Gabriel,CA,91776,(626) 285-0611,02/05/2007,"Meat Processing, Poultry Processing",
M19901 + P19901,M. T.  Animal  Slaughtering Halal Meat Processing Plant,159 General Blount Drive,Bassfield,MS,39421,(601) 943-5710,10/15/2018,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M19903 + P19903,"Stevens Sausage Co., Inc.",3411 Stevens Sausage Road,Smithfield,NC,27577,(919) 934-3159,12/14/2006,"Meat Processing, Poultry Processing",
M19904 + P19904,Acre Station Meat Farm,17076 Hwy 32 N,Pinetown,NC,27865,(252) 927-3700,10/03/2002,"Meat Processing, Meat Slaughter, Poultry Processing",
M19908 + P19908,"Pruski's Market, Inc.",10140 Highway 87 South,Adkins,TX,78101,(210) 649-2151,06/29/2006,"Meat Processing, Poultry Processing",
M19909 + P19909,"Bally United Produce, LTD",429 Forest Gate Drive,Garland,TX,75042,(972) 487-7788,04/21/2015,"Meat Processing, Poultry Processing",
M19911 + P19911 + V19911,Lineage Logistics Services LLC,7132 Ruppsville Road,Allentown,PA,18106,(774) 757-8079,02/12/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Poultry Processing",
M19915 + P19915,Majestic Meat Company,70 West Bowers Way,Salt Lake City,UT,84115,(801) 486-4904,12/12/2017,"Meat Processing, Poultry Processing",
M19916 + P8117 + V19916,Salt Lake Fine Foods,2685 South Main,Salt Lake City,UT,84115,(801) 484-5295,08/22/2017,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Main Street Quality Meats; Quality Meats
M19917 + P19917,"Hearthside Food Solutions, LLC",10350 Argonne Drive,Woodridge,IL,60517,(331) 201-3950,11/23/2020,"Meat Processing, Poultry Processing",Greencore USA
M19918 + P19918,The Pillsbury Company,A Division of General Mills,Murfreesboro,TN,37133,(615) 890-9900,03/07/2002,"Meat Processing, Poultry Processing",
M1992 + P18769,"Rochelle Foods, Inc.",1001 South Main St.,Rochelle,IL,61068,(815) 562-4141,05/08/2012,"Meat Processing, Poultry Processing",Geo. A. Hormel & Company
M1993 + P1993,Farmington Meat Co. Inc.,7419 W. Franklin St.,Forest Park,IL,60130,(708) 771-3600,08/11/2014,"Meat Processing, Poultry Processing",
M19941W + P19941W + V19941W,Reichel Foods Inc.,6101 Bandel Rd. NW,Rochester,MN,55901,(507) 424-2986,09/13/2017,"Identification - Meat, Identification - Poultry",
M19950 + P19950,Empanadas Quintero,1951 N.W. 141st,Opa-Locka,FL,33054,(305) 687-7754,01/06/2009,"Meat Processing, Poultry Processing",
M19953 + P19953,Go Go Sales Inc.,3050-A E. 11th Street,Los Angeles,CA,90023,(323) 262-1798,07/06/2016,"Meat Processing, Poultry Processing",L & T Meat
M19957 + P19957 + V19957,US Cold Storage,601 Twin Rail Drive,Minooka,IL,60447,(815) 467-0455,09/07/2017,"Certification - Cysticercus, Certification - Trichinae, Identification - Meat, Identification - Poultry",
M19959 + P19959,"FCH Enterprises, Inc.",94-1068 Ka Uka Blvd,Waipahu,HI,96797,(808) 677-7766,06/29/2011,"Meat Processing, Poultry Processing",Food Solution International
M1996 + P8242 + V1996,"Freedom Sausage, Inc.",4155 E. 1650th Rd.,Earlville,IL,60518,(815) 792-8276,01/29/2016,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Exotic, Volunt",
M19970,"No Man's Land Foods, LLC",1015 East Main,Boise City,OK,73933,(580) 544-2038,09/26/2018,Meat Processing,
M19977 + P19977,"Packer Avenue Foods, Inc",700 Packer Avenue,Philadelphia,PA,19148,(215) 271-0300,12/13/2018,"Meat Processing, Poultry Processing",
M19979 + P19979,Ukrop's Homestyle Foods,600-A Southlake Blvd.,Richmond,VA,23236,(804) 419-1990,03/04/2011,"Meat Processing, Poultry Processing",
M1999 + P2229 + V1999,"SFC Global Supply Chain, Inc.",3019 Scanlan Ave.,Salina,KS,67401,(785) 825-1671,02/27/2018,"Certification - Export, Meat Processing, Poultry Processing",
M19999 + P19999,"AU, LAU and Associates, Inc.",1871 North Powerline Road,Pompano Beach,FL,33069,(954) 934-0505,02/04/2009,"Meat Processing, Poultry Processing",
M1999A + P2015 + V1999A,"Schwan's Global Supply Chain, Inc.",1604 Superior Road,Marshall,MN,56258,(507) 537-8464,03/14/2019,"Certification - Export, Meat Processing, Poultry Processing",
M199D + P199D + V199D,"Research & Development, Hormel Foods Corporate Services, LLC",2 Hormel Place,Austin,MN,55912,(507) 437-5611,10/07/2016,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M199G + P6620,Hormel Foods Corporation,3367 Montreal Industrial Way,Tucker,GA,30085,(770) 908-4000,04/14/2021,"Meat Processing, Poultry Processing",Geo A Hormel & Company
M199O + P199O,"Osceola Food, LLC",1027 Warren Avenue,Osceola,IA,50213,(641) 342-8000,12/22/2021,"Meat Processing, Poultry Processing",Hormel Foods Corporation
M199P + P199P + V199P,"Progressive Processing, LLC",1205 Chavenelle Court,Dubuque,IA,52002,(563) 557-4500,09/15/2017,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing","Progressive Processing, LLC"
M199R + P199R,Hormel Foods Corporation,1118 Highway 18 East,Algona,IA,50511,(515) 295-2477,04/16/2021,"Meat Processing, Poultry Processing",Burke Marketing Corp. Est. 6829-A; Di Lusso Deli Company.; Geo A. Hormel & Co.
M199V + P199V + V199V,Hormel Foods Corporation,209 North Godfrey Ln,Knoxville,IA,50138,(641) 842-6841,09/29/2017,"Certification - Export, Meat Processing, Poultry Processing",DiLusso Deli Co.; Geo. A. Hormel & Company
M199W + P6858,Hormel Foods Corporation,3000 Kennedy Drive,Beloit,WI,53511,(608) 365-9501,10/17/2018,"Meat Processing, Poultry Processing",Geo A Hormel & Company
M2000 + P2000,Hahn Bros. Inc.,440 Hahn Rd.,Westminister,MD,21157,(410) 848-4200,02/21/2006,"Meat Processing, Poultry Processing",
M2001,"Georgelo Pizza - Chicago, Inc.",631 Taft Ave.,Hillside,IL,60162,(708) 449-8200,03/14/2018,Meat Processing,
M20017 + P20017,"Farmers Feeding Utah, Inc.",984 W 20th St,West Haven,UT,84401,(435) 749-9988,11/02/2006,"Meat Processing, Meat Slaughter, Poultry Processing",
M20023 + P20023,Homeland Baking LLC,9459 Alawhe Drive,Claremore,OK,74019,(918) 342-5852,09/04/2018,"Meat Processing, Poultry Processing",
M20029 + P20029,"Carolina Catering dba Sky Caterers, Inc.",Sector Central Road #150,Carolina,PR,979,(787) 253-0129,10/07/2016,"Meat Processing, Poultry Processing","Sky Caterers, Inc."
M20033,"Garden Manor Farms, Inc.",355 Food Center,Bronx,NY,10474,(718) 893-5350,05/21/2021,Meat Processing,
M20034 + P20034 + V20034,"Holiday Meats of New Jersey, Inc.",42 Birch Avenue,Little Silver,NJ,7739,(732) 345-7400,09/17/2013,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry",
M20035 + P20035 + V20035,Bumble Bee Foods LLC,994 Ocean Drive,Cape May,NJ,8204,(609) 884-0440,02/20/2020,"Meat Processing, Poultry Processing, Voluntary Processing - Poultry",Snow's; Sweet Sue Kitchens
M20049 + P20049,Don Miguel Foods,9650 Chartwell Drive,Dallas,TX,75243,(214) 221-2399,07/11/2012,"Meat Processing, Poultry Processing",
M2006 + P2006,Manea's Meats Company,114 2nd Avenue North,Sauk Rapids,MN,56379,(320) 253-8683,01/24/2007,"Meat Processing, Poultry Processing",
M20069 + P20069,"Ajinomoto Foods North America, Inc.",2395 American Avenue,Hayward,CA,94545,(510) 293-1838,10/09/2018,"Meat Processing, Poultry Processing",Ajinomoto Foods; Ajinomoto Windsor; Discovery Foods; Windsor Foods
M20069A + P20069A,"Ajinomoto Foods North America, Inc.",2188 Alpine Way,Hayward,CA,94545,(510) 293-1838,10/09/2018,"Meat Processing, Poultry Processing",
M20073,"Bob's Better Beef, Inc.",710 Schneider Dr.,South Elgin,IL,60177,(847) 695-7555,12/03/1997,Meat Processing,Bari Food Products; BOCE Meat Products
M20076 + P20076,Troy Foods Inc,404 E. US Highway 40,Troy,IL,62294,(618) 667-6332,11/18/1997,"Meat Processing, Poultry Processing",
M20088 + P20088 + V20088,"Brakebush Irving, Inc.",2230 East Union Bower,Irving,TX,75061,(972) 536-2210,03/14/2017,"Certification - Export, Poultry Processing",
M20091 + P20091,Country Ranch Food Products,1460 Fieldpark Circle,Marietta,GA,30066,(770) 792-9000,01/26/2000,"Meat Processing, Poultry Processing",
M20093 + P20093,Fresh Gourmet Cuisine Corp,19431 Business Center Dr. Suite #35,Northridge,CA,91324,(818) 772-1350,02/28/2009,"Meat Processing, Poultry Processing",
M20103 + P20103,"Pigeon Caterers, Inc",5900 S. Front St.,New Orleans,LA,70115,(504) 899-2460,06/15/2009,"Meat Processing, Poultry Processing",Carnival Brands
M20106 + P20106,Dallas USA Foods Inc.,1880 Lone Star Drive,Dallas,TX,75212,(214) 905-1511,03/30/2010,Poultry Processing,
M20116 + P20116,"BMC Cali, Inc.",8513 E. Garvey Ave,Rosemead,CA,91770,(626) 307-8332,10/02/2006,"Meat Processing, Poultry Processing",Golden Medallion Foods
M20117 + P20117,Culinary Specialties Inc.,1231 Linda Vista,San Marcos,CA,92069,(760) 722-1955,07/05/2000,"Meat Processing, Poultry Processing",
M20129,"Custom Quality Packers, LLC",3571 Friday Rd.,Sims,NC,27880,(252) 235-3558,03/22/2012,"Meat Processing, Meat Slaughter",Bailey Slaughter House
M20131 + P20131 + V20131,Country Archer,1055 E. Cooley Avenue,San Bernardino,CA,92408,(909) 370-0155,06/22/2020,"Certification - Export, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Rabbit",Country Archer
M2014 + P369,"PERDUE FOODS, LLC.",100 QUALITY STREET,BRIDGEWATER,VA,22812,(410) 543-3000,03/13/2014,"Meat Processing, Poultry Processing",HARVESTLAND FOODS INC; HARVESTLAND PRODUCTS INC; HOLIDAY TIME FOODS INC; PERDUE FOODS INC; PERDUE INC; SHENANDOAH; SHENANDOAH PRODUCTS INC; SHENANDOAH VALLEY FARMS
M20146 + P20146,Seviroli FOODS,960 Creek Road,Bellmawr,NJ,8031,(856) 931-1900,05/05/2016,"Meat Processing, Poultry Processing",
M20153 + P20153,Rice Field Corporation,14500 E. Valley Boulevard,City of Industry,CA,91746,(626) 968-6917,04/16/2002,"Meat Processing, Poultry Processing",Great River Foods; Valley Star Corp.
M20156 + P20156,Majesty Foods,2740 West 81st Street,Hialeah,FL,33016,(305) 817-1888,06/08/2010,"Meat Processing, Poultry Processing",Latin Delights; Patty King
M2016 + P1278,"Custom Culinary, Inc.",2100 Wiesbrook Drive,Oswego,IL,60543,(630) 299-0500,07/20/2015,"Meat Processing, Poultry Processing",Custom Food Products; Griffith Laboratories
M20172 + P20172 + V20172,"American Butchers, LLC",809 O street,Beaver City,NE,68926,(308) 268-2110,05/12/2016,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M20173 + P20173,Ivars Commissary,11777 Cyrus Way,Mukilteo,WA,98275,(425) 493-1861,02/10/2005,Meat Processing,
M20190 + V20190,Interstate Warehousing,121 Harwood Drive,Newport News,VA,23603,(757) 887-8100,12/01/2016,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M20192 + P20192 + V20192,"Northwoods Custom Meats, Inc.",111 Main St. E.,Remer,MN,56672,(218) 566-3933,03/04/2016,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M202 + P202 + V202,"Pel-Freez, LLC",404 N. Arkansas Street,Rogers,AR,72756,(479) 636-4361,02/09/2021,"Poultry Slaughter, Voluntary Processing - Meat, Voluntary Processing - Rabbit, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry, Voluntary Slaughter - Rabbit",
M20204 + P20204 + V20204,Denmark Foods,7713 West Golden Lane,Peoria,AZ,85345,(623) 979-4234,02/03/2011,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M20210 + P20210 + V20210,"Macmillian-Piper, Inc.",1762  6th Ave. S.,Seattle,WA,98134,(206) 340-2850,09/19/2014,,
M20211 + P20211 + V20211,"Macmillan-Piper, Inc.",1509 Taylor Way,Tacoma,WA,98421,(253) 627-3767,09/19/2014,"Identification - Meat, Identification - Poultry",
M20215 + P20215,Cajun Specialty Meats,690 Heinberg St.,Pensacola,FL,32502,(850) 469-9400,04/18/2007,"Meat Processing, Poultry Processing",
M20222,JDM Specialty Foods,250 East 14th Street,Elmira,NY,14903,(607) 732-1425,02/11/2021,Meat Processing,Renkos Pickled Polish Sausage
M20232 + P20232,"Slovacek Foods, LP",9500 Slovacek Road,Snook,TX,77878,(979) 272-8625,07/17/2019,"Meat Processing, Poultry Processing",Slovacek Sausage Company; Slovacek's
M20239 + P20239 + V20239,"Northwood Foods, LLC",1105 8th Street North,Northwood,IA,50459,(641) 324-1466,04/28/2015,"Certification - Export, Meat Processing, Poultry Processing",
M20247 + V20247,Rocky Mountain Natural Meats,9757 Alton Way,Henderson,CO,80640,(303) 287-7100,12/05/2007,"Certification - Export, Meat Processing, Voluntary Processing - Meat",
M20249 + P20249,Livingston Meat Processing,8485 Greenville Road,Hopkinsville,KY,42240,(270) 269-2333,08/02/2019,"Meat Processing, Meat Slaughter",
M20251W + P20251W,"Tecumseh Poultry, LLC",13151 Dovers Street,Waverly,NE,68462,(402) 786-1000,07/11/2018,"Meat Processing, Poultry Processing",MBA Poultry
M20252 + P20252,Mom's Wholesale Foods Inc.,930 Cass Street,New Castle,PA,16101,(724) 856-3049,03/11/2015,"Meat Processing, Poultry Processing",
M20254 + P20254,"Computer Times Publishing, Inc.","500 Kuwili St., #100",Honolulu,HI,96817,(808) 531-6671,02/16/2011,"Meat Processing, Poultry Processing",Sushi Chef
M20263 + V20263,Halal Farms U.S.A. Inc.,22 West Badger St.,Shannon,IL,61078,(815) 864-2875,02/26/1998,"Certification - Export, Meat Processing, Meat Slaughter, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit",Rahmat Meat
M20287 + P20287,"Simmons Prepared Foods, Inc.",2101 Twin Circle Drive,Van Buren,AR,72956,(479) 410-3036,01/28/2021,"Meat Processing, Poultry Processing","Blue Ribbon Farms; Simmons Foods, Inc; Simmons Industries, Inc.; Simmons Poultry Farms, Inc."
M2029 + P2029 + V2029,Trim-Rite Food Corporation,801 Commerce Parkway,Carpentersville,IL,60110,(847) 649-3400,05/20/2013,"Certification - Export, Meat Processing, Poultry Processing",
M20290 + P20290 + V20290,"Targhee Brands, Inc.",8149 South 600 East,Rexburg,ID,83440,(208) 359-2710,03/31/1998,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Pou",
M20314 + P20314,"Nina Mia, Inc.",826 Enterprise Way,Fullerton,CA,92631,(714) 903-3211,04/08/2009,"Meat Processing, Poultry Processing",Pasta Mia
M2032 + P2032,Moesle Meat Distribution Co.,5115 S. Millard Ave.,Chicago,IL,60632,(773) 847-4900,11/22/2021,"Meat Processing, Poultry Processing",Moesle Meats
M20321 + V20321,Luce's Maine Grown Meats,366 Embden Pond Road,North Anson,ME,4958,(207) 635-2817,02/17/2009,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M20322 + P20322,"Keystone Foods, LLC.",57 Melvin Clark Road,Baker Hill,AL,36027,(334) 688-6570,10/26/2021,"Meat Processing, Poultry Processing, Poultry Slaughter","Equity Group Eufaula Division, LLC; Key Farms; Keystone Foods, LLC; Prospect Farms; TSD Sales and Distribution; Tyson Foods, Inc."
M20322A + P20322A,"Keystone Foods, LLC",57 Melvin Clark Road,Baker Hill,AL,36027,(334) 688-6500,10/26/2021,"Meat Processing, Poultry Processing","Equity Group Eufaula, Division, LLC; Key Farms; Keystone Foods LLC; TSD Sales and Distribution; TSD Sales and Distribution; Tyson Foods, Inc."
M20326 + P20326 + V20326,Coastal Pacific Food Distributors,1015 Performance Drive,Stockton,CA,95206,(209) 983-2454,02/25/2005,"Identification - Meat, Identification - Poultry",
M20343 + V20343,Guymon Cold Storage,2700 Cactus Drive,Guymon,OK,73942,(580) 338-9600,05/26/2021,Certification - Export,
M20350 + P20350,"EDS Wrap & Roll Foods, LLC.",2545 Barrington Court,Hayward,CA,94545,(510) 266-0888,06/26/2008,"Meat Processing, Poultry Processing",chef corner ; double sky; eds wrap & roll; lotus
M2036,"Kruse & Son, Inc.",235 Kruse Avenue,Monrovia,CA,91016,(626) 358-4536,05/20/1998,Meat Processing,
M20373 + P20373 + V20373,Americold Logistics,1541 US Highway 41 N,Sebree,KY,42455,(270) 835-9776,07/01/2021,"Certification - Export, Food Inspection, Identification - Poultry",
M20374 + P20374 + V20374,Quality Refrigerated Services,3301 G Street,Omaha,NE,68107,(402) 738-1118,01/24/2007,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Q.P.S.; Q.R.S.; Quality Processing Services
M20375 + P20375,CTI Foods LLC,1120 West Foothill Blvd.,Azusa,CA,91702,(626) 633-1609,09/12/2019,"Meat Processing, Poultry Processing",
M20380 + P20380,Spagel Brothers Inc.,602 East 25th Street,Erie,PA,16503,(814) 456-0965,10/29/2010,"Meat Processing, Poultry Processing",Stanganelli's
M20384 + P20384,Pasta Mami,1088 West Atlanta Street,Marietta,GA,30060,(770) 438-6022,10/17/2013,"Meat Processing, Poultry Processing",
M20401 + P20401,"Prime Foods, Inc.",5213 Monroe Pl.,Hyattsville,MD,20781,(301) 209-0077,01/17/2008,"Meat Processing, Poultry Processing",
M20401A + P20401A,Prime Foods,5222 Monroe Place,Hyattsville,MD,20781,(301) 779-2500,04/01/2021,"Meat Processing, Poultry Processing",
M20403,American Halal Meat Inc.,270 Raymond Blvd,Newark,NJ,7105,(973) 817-8444,10/15/2013,"Meat Processing, Meat Slaughter",American Halal Meat
M2041 + P657,Kraft heinz Company,1357 Isett Avenue,Muscatine,IA,52761,(563) 262-2222,03/24/2017,"Meat Processing, Poultry Processing",Kraft Heinz Foods Company
M20411 + V20411,"Woodland Bison, Inc.",10620 Stricker Road,Memphis,IN,47143,(812) 246-9911,08/22/2002,"Food Inspection, Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",Bluegrass Bison; Buffalo Crossing; Kentucky Bison; Lewis and Clark; Memphis Meat Processing; Vista Grand Ranch; Woodland Farm
M20414 + P20414,Azar and Company,719 E. Union St.,Jacksonville,FL,32206,(904) 358-2354,04/07/2009,"Meat Processing, Poultry Processing",
M20420,"All American Meats, Inc.","All American Meats, Inc.",Omaha,NE,68107,(402) 734-6901,07/11/2000,Meat Processing,
M20422 + P20422,Johnson's Smokehouse and Sausage Kitchen,8310 Diagonal Rd.,East Olympia,WA,98501,(360) 459-8169,09/24/2020,"Meat Processing, Poultry Processing","Johnson's Smokehouse; Michaels Meats and Seafood; Pat-n-Tams; Summit Snacks    Puyallup, WA; Tacoma Boys"
M20425 + P20425,"Texas Best Beef Jerky, Inc.",7043 Seymour Highway,Wichita Falls,TX,76308,(940) 691-3664,04/09/2003,"Meat Processing, Poultry Processing",Texas Best Meats
M20434 + P20434,Barry's Barbeque,85 County Road 527,Fyffe,AL,35971,(205) 623-2102,08/21/2019,"Meat Processing, Poultry Processing",
M20435 + P20435,La Molisana Sausage Company LLC,350 Congress Ave,Waterbury,CT,6708,(203) 574-1272,03/08/2012,"Meat Processing, Poultry Processing",
